company,name,address,lat,lng,postal_code,locality,adm4,adm1,country
codere,SALON TIKI TAKA LA RIBERA,"EXPLANADA BARNUEVO, 20, Santiago De La Ribera",37.7967224,-0.8039137,30720,Region of Murcia,San Javier,Region of Murcia,Spain
codere,SALON TIKI TAKA LIBRILLA,"MAESTRO ESPADA, 0",37.885634,-1.354506,30892,Region of Murcia,Librilla,Region of Murcia,Spain
codere,SALON TIKI TAKA SPORT CAFE V,"SAN ISIDRO, 18, Tomelloso",39.1582611,-3.0212324,13700,Tomelloso,Tomelloso,Castile-La Mancha,Spain
codere,SALON TIKI TAKA TORREAGÜERA,"MAYOR, 8",37.978263,-1.056612,30579,Region of Murcia,Murcia,Region of Murcia,Spain
codere,SALON TOLEDO,"DE LA ROSA, 140, Toledo",41.6528052,-83.5378674,43604,Toledo,,Ohio,United States
codere,SALON TREBOL,"Avenida MIGUEL DE CERVANTES, 47, Tarancón",40.0100026,-3.0104437,16400,Tarancón,Tarancón,Castile-La Mancha,Spain
codere,SALON TREBOL ALGABA,"PRIMERO DE MAYO, 74, La Algaba",37.4587461,-6.013631699999999,41980,La Algaba,La Algaba,Andalusia,Spain
codere,SALON TREBOL ALMONTE,"A-483, 182",37.2574704,-6.5284894,21730,,Almonte,Andalusia,Spain
codere,SALON TREBOL FUENLABRADA,"PORTUGAL, 44, Fuenlabrada",40.281982,-3.8087462,28943,Fuenlabrada,Fuenlabrada,Community of Madrid,Spain
codere,SALON TREBOL XLI,"Sandoval, 38, Santiago Ribera",37.7965906,-0.8060881,30720,Region of Murcia,San Javier,Region of Murcia,Spain
codere,SALON TRIANA,"TRIANA, 5, Palma De Gran Canarias",28.1036937,-15.4157464,35002,Las Palmas de Gran Canaria,Las Palmas,Canary Islands,Spain
codere,SALON TROPICANA,"LUCA DE TENA, 44, Palma De Mallorca",39.5778795,2.6634902,07005,Palma,Palma,Balearic Islands,Spain
codere,SALON TUTTI FRUTI,"huerta del rey, 1",32.8028338,-117.2135682,92109,San Diego,,California,United States
codere,SALON VALENCIA,"CARRER DE RUSSAFA, 24, Valencia",39.461465,-0.3656227,46005,Valencia,Valencia,Valencian Community,Spain
codere,SALON VALI PARK AGUILAR,"PLAZA DE LOS NARANJOS, 0, Aguilar De La Frontera",36.5102131,-4.8849923,29601,Marbella,Marbella,Andalusia,Spain
codere,SALON VALI PARK SANLUCAR,"ALJARAFE ALTO, 5",36.7725774,-6.3529689,11540,Sanlúcar de Barrameda,Sanlúcar de Barrameda,Andalusia,Spain
codere,SALON VEGA MEDIA EL PALO,"JUAN SEBASTIAN ELCANO, 201, Malaga",36.7212714,-4.3606275,29017,Málaga,Málaga,Andalusia,Spain
codere,SALON VEGA MEDIA SANTA MARTA,"SANTA MARTA, 6, Malaga",36.7212737,-4.4213988,29015,Málaga,Málaga,Andalusia,Spain
codere,SALON VEGAS AVENIDA DE AMERICA LAS,"AMERICA, 24, Madrid",40.4383189,-3.7219663,28040,Madrid,Madrid,Community of Madrid,Spain
codere,SALON VENTA PACO Y CRISTOBAL,"Boulevard de la Cala, 3, Mijas",36.5040745,-4.6801745,29649,La Cala de Mijas,Mijas,Andalusia,Spain
codere,SALON VIANA,"NUESTRA SEÑORA DE LA FUENSANTA, 2, Cordoba",37.8814225,-4.7648944,14010,Córdoba,Córdoba,Andalusia,Spain
codere,SALON VICTORIA,"ALCALDE JUAN VALLEJO, 56, Alcaudete",37.58427,-4.080934,23660,Alcaudete,Alcaudete,Andalusia,Spain
codere,SALON VICTORIA VILLACARRILLO,"RAMON GARCIA DEL VALLE, 5",38.1170121,-3.0838809,23300,Villacarrillo,Villacarrillo,Andalusia,Spain
codere,SALON VIDEMUR ABARAN,"LA ESTACION, 22, Abaran",38.2040853,-1.4012039,30550,Region of Murcia,Abarán,Region of Murcia,Spain
codere,SALON VIDEMUR MULA II,"Carr. De CARAVACA, 0, Mula",38.0386654,-1.4975143,30170,Region of Murcia,Mula,Region of Murcia,Spain
codere,SALON WAIKIKI,"JOSE MESA Y LOPEZ, 60, Gran Canaria",28.131429,-15.4390847,35010,Las Palmas de Gran Canaria,Las Palmas,Canary Islands,Spain
codere,SALON WALL STREET,"LAS DALIAS, 12, San Agustin",29.827882,-81.271563,32080,Saint Augustine Beach,,Florida,United States
codere,SALON WIN WIN GETAFE,"LA ILUSTRACION, 5",40.3141132,-3.7293528,28902,Getafe,Getafe,Community of Madrid,Spain
codere,SALON WIN WIN SPORT BAR CASINO,"SECTOR PUEBLOS, 1, Tres Cantos",39.1119814,-94.82766509999999,66111,Kansas City,,Kansas,United States
codere,SALON WINNER KING OF MOMENT,"SAN FAUSTINO, 10, Madrid",40.4167754,-3.7037902,28013,Madrid,Madrid,Community of Madrid,Spain
codere,SALON WINNER VALLECAS,"PUERTO BALBARAN, 41, Madrid",36.05716049999999,-95.7904723,74012,Broken Arrow,,Oklahoma,United States
codere,SALORIO,"Aldea Tatín 38, Bergondo - Carrio",43.3370758,-8.2376317,15167,Cornide,Bergondo,Galicia,Spain
codere,SALTOKI,"BENIARDA, 2, Benidorm",38.5441896,-0.132377,03502,Benidorm,Benidorm,Valencian Community,Spain
codere,SAMA,"DOCTOR FLEMING, 4, Aspe",38.3475095,-0.7670671,03680,Aspe,Aspe,Valencian Community,Spain
codere,SAMY,"Avda. Alquería de Moret, 19-21",39.4376246,-0.4273951,46210,,Picanya,Valencian Community,Spain
codere,SAMY,"ITURRAMA, 1, Pamplona",42.80332,-1.6487083,31007,Pamplona,Pamplona,Navarre,Spain
codere,SAMY,"PEDRO CABANES 75, Valencia",39.4942234,-0.3781653,46019,Valencia,Valencia,Valencian Community,Spain
codere,SAN ANTON,"Calle COLON, 75, Segorbe",39.8526558,-0.4902919,12400,Segorbe,Segorbe,Valencian Community,Spain
codere,SAN FERMIN,"Calle MERINDAD DE SANGUESA, 5, Burlada",42.8267773,-1.6163712,31600,Burlada,Burlada,Navarre,Spain
codere,SAN FERNANDO,"Calle PEÑA TREVINCA, 19, Ourense",42.3346041,-7.8609644,32005,Ourense,Ourense,Galicia,Spain
codere,SAN FRANCISCO,"Calle MONTE PENAMA, 2, Ourense",37.7749295,-122.4194155,94103,San Francisco,,California,United States
codere,SAN JOSE MESON,"CTRA. DE BOLULLA, 12, Callosa D",38.6501967,-0.1208938,03510,Callosa d'en Sarrià,Callosa d'en Sarrià,Valencian Community,Spain
codere,SAN MARCOS,"Calle PRINCIPAL s/n, Maside",29.8832749,-97.9413941,78666,San Marcos,,Texas,United States
codere,SAN MARTIÑO,"RIA DE NOYA, 4, Arteixo",43.3043167,-8.5099359,15142,Arteixo,Arteixo,Galicia,Spain
codere,SAN MIGUEL,"Calle SAN MIGUEL, 25, Villar del Arzobispo",39.7320768,-0.82581,46170,Villar del Arzobispo,Villar del Arzobispo,Valencian Community,Spain
