CD_CENTRO,ETIQUETA,DIRECCION,CMUNI,MUNICIPIO,UTM_Y,UTM_X
28078730,EEI Don Pimpón (Programa Casa de Niños),"Calle Murillo, 1",061,Galapagar,4494356,416707
28078742,EEI Los Paraisos (Programa Casa de Niños),"Paseo Prado, s/n",161,Valdemoro,4449282,443380
28078857,CEE Hospital Puerta de Hierro,"Calle Manuel de Falla, 1",080,Majadahonda,4478042,425902
28078870,EEI Capulin,"Calle Buenavista, s/n",135,Santa María de la Alameda,4491728,392935
28078951,EEI El Mamut,"Calle Ganados del Salobral, 7",079,Madrid,4465426,442456
28078961,EEI La Ardilla,Calle Príncipe Carlos C/v Pintor Ignacio Zuloaga,079,Madrid,4481901,444776
28078973,EEI La Bola de Cristal,"Calle las Islas Bisagos, 13",079,Madrid,4479913,439318
28078985,EEI Las Pléyades,"Avenida Secundino Zuazo, 34",079,Madrid,4482909,447426
28078997,EEI Las Tablas,"Calle Eunate, 6",079,Madrid,4483990,442542
28079001,EEI Sabina,"Calle Cañón del Río Lobos, 2",079,Madrid,4472989,446461
28079011,EEI Montecarmelo,"Avenida Monasterio de Silos, 57",079,Madrid,4483997,440953
28079023,EEI El Fresno,"Calle María Casares, 15",079,Madrid,4482846,438566
28079102,EEI El Tren de Arganda,"Plaza del Doctor Laguna, 11",079,Madrid,4473952,442916
28079114,EEI PensamIIento,"Calle Mirasierra, 27",079,Madrid,4471242,440156
28079138,EEI La Melonera,"Calle Eros, 2",079,Madrid,4471693,442219
28079175,EEI El Bosque (Programa Casa de Niños),"Calle Encina, 2",073,Humanes de Madrid,4455660,429460
28600562,IES Seguros,"Ctra (M-607) Colmenar Viejo Viejo, km. 13,800",079,Madrid,4486625,441988
28600574,IES Tecnologias de la Información y las Comunicaciones Madrid Sur,"Avda Arcas del Agua, 2",065,Getafe,4460634,436635
28600586,"IES Electricidad, Electrónica y Aeronáutica","Paseo Ermita, 17",074,Leganés,4465764,434864
28600598,IES Tecnologías del Frío y la Climatización,"Calle Hacienda de Pavones, 350",079,Madrid,4472226,446177
28600604,IES Centro de Formación en Edificación y Obra Civil,"Lugar Finca el Convento (Finca Tirabuey, s/n)",104,Paracuellos de Jarama,4482765,454602
28700982,CEE Vallecas,"Calle Quijorna (centro Polivalente), S/n",079,Madrid,4468732,447000
28701020,CEE Puerta de Madrid,"Calle Alfonso de Alcalá, 2",005,Alcalá de Henares,4480741,467606
28701032,CEE Norte,"Calle Virgen de Aránzazu, 5",079,Madrid,4481883,441436
28701056,CEE San Agustín,Calle Frailes,074,Leganés,4463703,434362
28701081,CEE Pradera de San Isidro,"Calle Gorrión, 2",079,Madrid,4471992,438257
28701196,CEE Guadarrama,"Carretera Nacional Vi, Km. 50,300",068,Guadarrama,4503782,406262
28018371,CEE Cátedra de Pedriatría. Hospital Clínico,"Calle Profesor Martín Lagos, 2",079,Madrid,4476839,438983
28005520,CEE Hospital del Niño Jesús,"Avenida de Menéndez Pelayo, 65",079,Madrid,4473916,442573
28038550,CEE Hospital Gregorio Marañón,"Calle de O'Donnell, 50",079,Madrid,4474703,443042
