"id_local","clase_vial_acceso","desc_vial_acceso","num_acceso","rotulo","desc_seccion","desc_division","lng","lat","label"
149,"CALLE","FERMIN CABALLERO",76,"LA CAIXA","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7147741","40.4816182",
150,"CALLE","ISLA DE ONS",20,"SIN DEFINIR","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7219372","40.4800928",
151,"CALLE","ISLA PARAGUA",16,"SAL0N DE JUEGO Y RECREATIVO","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.686792899999999","40.4931527",
152,"AVENIDA ","MONFORTE DE LEMOS",36,"GOLDEN PARK APUESTAS DEPORTIVAS (PLANTA ALTA CC LA VAGUADA)",,"LICENCIA DESCONOCIDA","-3.707023","40.4798322","notcouncildata"
153,"AVENIDA ","MONFORTE DE LEMOS",36,"GOLDEN PARK APUESTAS DEPORTIVAS (PLANTA BAJA CC LA VAGUADA)",,"LICENCIA DESCONOCIDA","-3.707023","40.4798322","notcouncildata"
154,"AVENIDA","GALAXIA",8,"BAR KUKO'S","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7855078","40.4583713",
155,"AVENIDA","OSA MAYOR",34,"AZAR CASINOS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7793945","40.4595502",
156,"CALLE","MARQUES DE URQUIJO",12,"SALON DE JUEGO","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7176793","40.4303475",
157,"CALLE","PRINCESA",5,"SENTE","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7129334","40.4248954",
158,"PASEO","FLORIDA",2,"QUEENS",,"LICENCIA DESCONOCIDA","-3.720290799999999","40.42194569999999","notcouncildata"
159,"CALLE","PRINCESA",31,"BINGO ",,"LOCAL SIN ACTIVIDAD","-3.7147543","40.4280521","notcouncildata"
160,"CALLE","VALMOJADO",231,"CODERE","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7584679","40.3889484",
161,"CALLE","TEMBLEQUE",144,"LAS VEGAS JUEGOS Y APUESTAS, S.L.","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7655616","40.3915031",
162,"CALLE","QUERO",59,"ROTULO NO INFORMADO","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.76036","40.3903718",
163,"CALLE","ESCALONA",88,"LAS VEGAS JUEGOS CODERE APUESTAS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7666469","40.3953662",
164,"CALLE","OCAÑA",63,"SALON DE JUEGOS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7392024","40.3888934",
